#{"t_start": 1701555576.22989, "env_id": "CartPole-v1"}
r,l,t
118.0,118,14.830342
112.0,112,14.843703
12.0,12,14.845592
105.0,105,15.005229
109.0,109,15.018081
104.0,104,15.142756
93.0,93,15.155073
93.0,93,15.166769
95.0,95,15.344603
112.0,112,15.358971
19.0,19,15.361752
107.0,107,15.498853
95.0,95,15.510978
102.0,102,15.523851
100.0,100,15.702297
96.0,96,15.71447
97.0,97,15.850049
103.0,103,15.863621
107.0,107,15.878691
120.0,120,16.062499
124.0,124,16.079436
11.0,11,16.080903
71.0,71,16.215503
63.0,63,16.223391
19.0,19,16.225808
60.0,60,16.233579
53.0,53,16.265715
124.0,124,16.406237
153.0,153,16.425643
93.0,93,16.561059
98.0,98,16.573749
98.0,98,16.753745
88.0,88,16.765275
89.0,89,16.776702
88.0,88,16.911637
112.0,112,16.927248
117.0,117,17.124285
98.0,98,17.136766
94.0,94,17.150721
23.0,23,17.153517
117.0,117,17.292317
130.0,130,17.363568
18.0,18,17.365904
196.0,196,17.515321
34.0,34,17.519522
94.0,94,17.655729
186.0,186,17.756964
106.0,106,17.895849
18.0,18,17.898206
97.0,97,17.910086
85.0,85,18.047996
37.0,37,18.052885
29.0,29,18.056651
34.0,34,18.060914
40.0,40,18.082188
35.0,35,18.086821
39.0,39,18.092691
375.0,375,18.391899
112.0,112,18.456416
141.0,141,18.591707
33.0,33,18.595619
26.0,26,18.598612
28.0,28,18.602104
24.0,24,18.604776
24.0,24,18.607666
19.0,19,18.609939
99.0,99,18.729406
115.0,115,18.786925
152.0,152,18.912085
13.0,13,18.91382
112.0,112,18.92699
101.0,101,19.110526
92.0,92,19.160144
88.0,88,19.170705
180.0,180,19.306082
113.0,113,19.441359
97.0,97,19.492438
77.0,77,19.501338
86.0,86,19.617817
13.0,13,19.619222
18.0,18,19.62136
42.0,42,19.626193
40.0,40,19.631074
29.0,29,19.634422
62.0,62,19.641851
11.0,11,19.643043
70.0,70,19.758096
66.0,66,19.794912
72.0,72,19.803654
57.0,57,19.916772
37.0,37,19.921694
49.0,49,19.927259
31.0,31,19.93084
35.0,35,19.934847
48.0,48,19.940664
54.0,54,20.054857
13.0,13,20.056352
44.0,44,20.06148
15.0,15,20.063684
52.0,52,20.092762
49.0,49,20.09859
35.0,35,20.102558
95.0,95,20.221492
20.0,20,20.223664
105.0,105,20.235882
105.0,105,20.355072
71.0,71,20.381927
64.0,64,20.389835
30.0,30,20.393635
19.0,19,20.395969
122.0,122,20.537894
62.0,62,20.546191
202.0,202,20.731807
87.0,87,20.743938
106.0,106,20.881517
500.0,500,21.337262
174.0,174,21.359664
271.0,271,21.543729
30.0,30,21.547821
259.0,259,21.724089
205.0,205,21.92618
127.0,127,22.067034
234.0,234,22.260462
117.0,117,22.275237
107.0,107,22.288973
491.0,491,22.755531
19.0,19,22.758343
17.0,17,22.885794
30.0,30,22.889686
22.0,22,22.892565
54.0,54,22.899696
92.0,92,22.910952
33.0,33,22.915105
248.0,248,23.105748
152.0,152,23.250265
129.0,129,23.42925
376.0,376,23.602148
16.0,16,23.604077
500.0,500,23.93547
227.0,227,24.263089
49.0,49,24.268827
128.0,128,24.392288
16.0,16,24.394526
20.0,20,24.396938
16.0,16,24.399033
19.0,19,24.401381
22.0,22,24.404157
12.0,12,24.405521
21.0,21,24.408055
19.0,19,24.41047
21.0,21,24.413394
23.0,23,24.426071
291.0,291,24.568493
500.0,500,25.030378
347.0,347,25.477253
227.0,227,25.611477
25.0,25,25.614584
227.0,227,25.862304
411.0,411,26.104024
139.0,139,26.246076
122.0,122,26.261722
114.0,114,26.399741
19.0,19,26.40235
115.0,115,26.466103
112.0,112,26.604132
399.0,399,26.90986
500.0,500,27.274943
485.0,485,27.634603
120.0,120,27.776732
385.0,385,27.99834
117.0,117,28.013994
123.0,123,28.156707
34.0,34,28.16077
15.0,15,28.162634
500.0,500,28.650263
318.0,318,28.953161
49.0,49,29.085201
350.0,350,29.380869
315.0,315,29.529951
493.0,493,29.810996
30.0,30,29.814332
98.0,98,29.933198
23.0,23,30.003187
29.0,29,30.008037
22.0,22,30.011319
16.0,16,30.013467
296.0,296,30.15893
202.0,202,30.33457
22.0,22,30.337024
132.0,132,30.353392
25.0,25,30.463678
29.0,29,30.467337
500.0,500,30.936926
152.0,152,30.956753
144.0,144,31.159528
254.0,254,31.315803
15.0,15,31.317781
112.0,112,31.331789
12.0,12,31.333634
103.0,103,31.520976
100.0,100,31.533747
18.0,18,31.535863
26.0,26,31.539724
28.0,28,31.543485
14.0,14,31.545189
145.0,145,31.687411
153.0,153,31.892922
114.0,114,31.907008
115.0,115,32.046333
27.0,27,32.05018
38.0,38,32.055142
111.0,111,32.06911
103.0,103,32.239352
17.0,17,32.241296
24.0,24,32.244978
16.0,16,32.246793
95.0,95,32.260264
94.0,94,32.396163
120.0,120,32.411596
115.0,115,32.476579
34.0,34,32.605272
128.0,128,32.621775
121.0,121,32.765536
128.0,128,32.782526
126.0,126,32.976083
89.0,89,32.987237
34.0,34,32.993208
53.0,53,33.000039
26.0,26,33.003579
104.0,104,33.159283
97.0,97,33.171873
97.0,97,33.377218
131.0,131,33.39346
124.0,124,33.537854
29.0,29,33.541919
170.0,170,33.633916
29.0,29,33.637484
186.0,186,33.785269
114.0,114,33.923764
181.0,181,34.020922
128.0,128,34.164598
26.0,26,34.167865
23.0,23,34.17131
15.0,15,34.173066
22.0,22,34.175888
26.0,26,34.17938
20.0,20,34.182197
26.0,26,34.18525
413.0,413,34.662076
135.0,135,34.785288
90.0,90,34.796408
34.0,34,34.823361
87.0,87,34.832998
112.0,112,34.953885
111.0,111,34.966963
115.0,115,35.08684
98.0,98,35.140101
95.0,95,35.151151
19.0,19,35.260206
91.0,91,35.271199
23.0,23,35.273844
11.0,11,35.2751
26.0,26,35.278494
28.0,28,35.281351
29.0,29,35.284808
15.0,15,35.286698
94.0,94,35.404682
98.0,98,35.456839
101.0,101,35.575754
18.0,18,35.577995
10.0,10,35.579508
14.0,14,35.581016
23.0,23,35.5839
18.0,18,35.585817
34.0,34,35.590088
17.0,17,35.591828
17.0,17,35.593956
16.0,16,35.59593
14.0,14,35.597605
19.0,19,35.599841
18.0,18,35.602041
22.0,22,35.604515
100.0,100,35.765995
108.0,108,35.778794
115.0,115,35.900829
125.0,125,35.915495
81.0,81,36.036538
21.0,21,36.039061
13.0,13,36.040442
58.0,58,36.06476
47.0,47,36.070529
22.0,22,36.073042
10.0,10,36.074131
26.0,26,36.077268
71.0,71,36.199715
16.0,16,36.201724
16.0,16,36.203961
16.0,16,36.206096
21.0,21,36.209285
18.0,18,36.211375
117.0,117,36.226278
20.0,20,36.228978
396.0,396,36.67311
329.0,329,36.967771
161.0,161,37.115709
137.0,137,37.132844
92.0,92,37.305329
91.0,91,37.317665
90.0,90,37.455079
16.0,16,37.456864
21.0,21,37.459893
23.0,23,37.463161
24.0,24,37.466064
19.0,19,37.468614
18.0,18,37.471225
21.0,21,37.474095
85.0,85,37.484486
14.0,14,37.486431
452.0,452,37.929884
18.0,18,37.932306
383.0,383,38.454967
181.0,181,38.601902
98.0,98,38.653718
94.0,94,38.665488
112.0,112,38.803743
44.0,44,38.809317
14.0,14,38.812144
92.0,92,38.824294
83.0,83,39.005184
296.0,296,39.167523
500.0,500,39.599257
109.0,109,39.612743
104.0,104,39.781407
329.0,329,39.927214
125.0,125,39.941695
168.0,168,40.122111
319.0,319,40.278578
500.0,500,41.165179
189.0,189,41.500216
31.0,31,41.503871
102.0,102,41.515541
424.0,424,42.224346
17.0,17,42.227688
19.0,19,42.230716
16.0,16,42.233682
14.0,14,42.237078
14.0,14,42.240093
21.0,21,42.243924
379.0,379,42.864219
25.0,25,42.867562
96.0,96,42.881237
367.0,367,43.423629
95.0,95,43.435752
110.0,110,43.573536
109.0,109,43.60818
21.0,21,43.610646
18.0,18,43.613198
20.0,20,43.615959
19.0,19,43.6188
468.0,468,43.970444
27.0,27,43.974211
127.0,127,44.116922
283.0,283,44.276191
145.0,145,44.483823
21.0,21,44.486618
26.0,26,44.489845
21.0,21,44.492751
21.0,21,44.495751
23.0,23,44.4991
21.0,21,44.501973
26.0,26,44.505481
19.0,19,44.508033
19.0,19,44.51071
14.0,14,44.512688
18.0,18,44.514907
14.0,14,44.516973
155.0,155,44.733733
171.0,171,44.897261
170.0,170,44.918375
32.0,32,45.049136
111.0,111,45.109136
110.0,110,45.12321
129.0,129,45.262726
143.0,143,45.281841
107.0,107,45.445154
24.0,24,45.448286
109.0,109,45.462247
23.0,23,45.46541
107.0,107,45.605329
120.0,120,45.61932
111.0,111,45.762694
11.0,11,45.763964
22.0,22,45.766476
110.0,110,45.779081
40.0,40,45.892208
92.0,92,45.903477
98.0,98,45.915377
72.0,72,46.031607
341.0,341,46.371903
116.0,116,46.385172
334.0,334,46.780706
392.0,392,47.072875
500.0,500,47.554537
15.0,15,47.556133
346.0,346,47.855369
19.0,19,48.062509
500.0,500,48.590041
23.0,23,48.593015
33.0,33,48.597335
21.0,21,48.600168
13.0,13,48.602241
500.0,500,49.120559
500.0,500,49.675285
350.0,350,49.843585
329.0,329,50.066124
263.0,263,50.299481
309.0,309,50.58907
12.0,12,50.590564
347.0,347,50.958501
233.0,233,51.092538
19.0,19,51.095585
19.0,19,51.097834
21.0,21,51.110543
25.0,25,51.113667
17.0,17,51.115427
21.0,21,51.117897
111.0,111,51.238927
110.0,110,51.251548
137.0,137,51.374793
262.0,262,51.70584
119.0,119,51.719612
220.0,220,51.902812
344.0,344,52.157852
91.0,91,52.168823
92.0,92,52.216875
22.0,22,52.21948
500.0,500,52.70054
179.0,179,52.847746
101.0,101,52.861009
25.0,25,52.989124
89.0,89,53.001924
24.0,24,53.004921
93.0,93,53.055059
36.0,36,53.05974
103.0,103,53.199579
100.0,100,53.213618
101.0,101,53.353355
90.0,90,53.403749
20.0,20,53.406448
